ID,Num,Gini,Var,GM,ldlPFC,rdlPFC,rvlPFC,rdmPFC,lMTG,lSPL,rSPL
1002,4,0.27,0.37,0.82,1,0,0,0,0,0,0
1002,5,0.26,0.59,0.74,1,0,0,0,0,0,0
1002,6,0.29,0.7,0.62,1,0,0,0,0,0,0
1002,7,0.27,0.72,0.64,1,0,0,0,0,0,0
1002,8,0.28,0.57,0.41,0,0,0,0,1,0,0
1002,9,0.25,0.45,0.73,0,0,0,0,1,0,0
1002,10,0.33,0.79,0.89,0,0,0,0,0,1,0
1002,11,0.37,0.65,0.29,0,0,0,0,0,1,0
1002,12,0.25,0.55,0.26,0,0,0,0,0,1,0
1002,13,0.18,0.39,0.1,0,0,0,0,0,1,0
1002,14,0.29,0.67,0.1,0,0,0,0,0,1,0
1002,15,0.23,0.69,0.45,0,1,0,0,0,0,0
1002,16,0.29,0.89,0.46,0,1,0,0,0,0,0
1002,17,0.32,0.73,0.79,0,1,0,0,0,0,0
1002,18,0.27,0.86,0.64,0,1,0,0,0,0,0
1002,19,0.18,0.57,0.87,0,0,0,1,0,0,0
1002,20,0.21,0.78,0.63,0,0,0,1,0,0,0
1002,21,0.34,1.04,0.11,0,0,0,1,0,0,0
1002,22,0.23,0.95,0.88,0,0,0,1,0,0,0
1002,23,0.19,0.9,0.35,0,0,0,1,0,0,0
1002,24,0.19,0.85,0.97,0,0,0,1,0,0,0
1002,25,0.34,0.71,0.93,0,0,0,1,0,0,0
1002,26,0.25,0.74,0.92,0,0,0,0,0,0,1
1002,27,0.16,0.62,0.98,0,0,0,0,0,0,1
1002,28,0.3,0.4,0.98,0,0,0,0,0,0,1
1002,29,0.28,0.78,0.85,0,0,0,0,0,0,1
1002,30,0.2,0.4,0.24,0,0,1,0,0,0,0
1002,31,0.2,0.42,0.08,0,0,1,0,0,0,0
1002,32,0.31,0.48,0.52,0,0,1,0,0,0,0
1005,1,0.31,0.37,0.54,1,0,0,0,0,0,0
1005,2,0.22,0.55,0.66,1,0,0,0,0,0,0
1005,3,0.29,0.3,0.15,1,0,0,0,0,0,0
1005,4,0.22,0.21,0.56,1,0,0,0,0,0,0
1005,5,0.25,0.37,0.43,1,0,0,0,0,0,0
1005,6,0.29,0.29,0.53,1,0,0,0,0,0,0
1005,7,0.25,0.44,0.79,1,0,0,0,0,0,0
1005,8,0.37,0.32,0.61,0,0,0,0,1,0,0
1005,9,0.35,0.43,0.52,0,0,0,0,1,0,0
1005,10,0.27,0.56,0.77,0,0,0,0,0,1,0
1005,11,0.32,0.81,0.7,0,0,0,0,0,1,0
1005,12,0.31,0.73,0.51,0,0,0,0,0,1,0
1005,13,0.25,0.52,0.06,0,0,0,0,0,1,0
1005,14,0.28,0.34,0.27,0,0,0,0,0,1,0
1005,15,0.39,0.36,0.52,0,1,0,0,0,0,0
1005,16,0.27,0.42,0.39,0,1,0,0,0,0,0
1005,17,0.24,0.3,0.24,0,1,0,0,0,0,0
1005,18,0.22,0.24,0.8,0,1,0,0,0,0,0
1005,19,0.32,0.33,0.47,0,0,0,1,0,0,0
1005,20,0.22,0.47,0.44,0,0,0,1,0,0,0
1005,21,0.24,0.61,0.56,0,0,0,1,0,0,0
1005,22,0.44,0.5,0.75,0,0,0,1,0,0,0
1005,23,0.35,0.62,0.78,0,0,0,1,0,0,0
1005,24,0.28,0.57,0.75,0,0,0,1,0,0,0
1005,25,0.25,0.57,0.81,0,0,0,1,0,0,0
1005,26,0.37,0.5,0.77,0,0,0,0,0,0,1
1005,27,0.35,0.61,0.59,0,0,0,0,0,0,1
1005,28,0.25,0.46,0.91,0,0,0,0,0,0,1
1005,29,0.19,0.83,0.61,0,0,0,0,0,0,1
1005,30,0.36,0.59,0.26,0,0,1,0,0,0,0
1005,31,0.2,0.45,0.03,0,0,1,0,0,0,0
1005,32,0.33,0.56,0.95,0,0,1,0,0,0,0
1006,1,0.29,0.39,0.21,1,0,0,0,0,0,0
1006,2,0.32,0.42,0.15,1,0,0,0,0,0,0
1006,3,0.24,0.45,0.76,1,0,0,0,0,0,0
1006,4,0.37,0.43,0.11,1,0,0,0,0,0,0
1006,5,0.3,0.61,0.52,1,0,0,0,0,0,0
1006,6,0.32,0.36,0.5,1,0,0,0,0,0,0
1006,7,0.24,0.62,0.53,1,0,0,0,0,0,0
1006,8,0.25,0.49,0.3,0,0,0,0,1,0,0
1006,9,0.27,0.36,0.55,0,0,0,0,1,0,0
1006,10,0.19,0.58,1,0,0,0,0,0,1,0
1006,11,0.19,0.65,0.76,0,0,0,0,0,1,0
